,FirstName,LastName,InTIme,OutTIme,CredentialNumber,AttendDate,EmpID,CheckInType,MobSSOperator,Device Name,EventID,Email,Identifier1,
Attendance Count: 15
,Andrew,Rink,09:48 ,,575,7/6/18,34775,Credential,,test no shows,137,,,
,Brynn,Ricki,09:48 ,,550,7/6/18,46913,Credential,,test no shows,137,,,
,David,Wii,09:48 ,,517,7/6/18,46017,Credential,,test no shows,137,,,
,Steve,Milla,09:48 ,,560,7/6/18,46036,Credential,,test no shows,137,,,
,Linda,Sanders,09:48 ,,554,7/6/18,46031,Credential,,test no shows,137,,,
,Enrique,Caruso ,09:48 ,,563,7/6/18,46008,Credential,,test no shows,137,,,
,Jeff,Boon jr.,09:48 ,,581,7/6/18,46012,Credential,,test no shows,137,,,
,Marcie,Hedges,09:48 ,,559,7/6/18,46032,Credential,,test no shows,137,,,
,Mario,Booli,09:48 ,,508,7/6/18,46995,Credential,,test no shows,137,,,
,Brynn,Bunty,09:48 ,,545,7/6/18,46013,Credential,,test no shows,137,,,
,Tanya,Baxter,09:48 ,,579,7/6/18,46019,Credential,,test no shows,137,,,
,Wendy,Chen,09:48 ,,577,7/6/18,46033,Credential,,test no shows,137,,,
,David,Von trapp,09:48 ,,558,7/6/18,46037,Credential,,test no shows,137,,,
,Phil,Jupiter,09:48 ,,573,7/6/18,46942,Credential,,test no shows,137,,,
,Hayat,Sindi,09:48 ,,568,7/6/18,46026,Credential,,test no shows,137,,,

