,FirstName,LastName,InTIme,OutTIme,CredentialNumber,AttendDate,EmpID,CheckInType,MobSSOperator,Device Name,EventID,Email,Identifier1,
Attendance Count: 20
,Maximus575,Decimus meridius575,17:11 ,,575,7/4/18,575,Credential,,X4RhsjlcjkQqM5GRD0WDYKlOpKx1w9zSbBHS,134,,,
,Maximus581,Decimus meridius581,17:19 ,,581,7/4/18,581,Credential,,X4RhsjlcjkQqM5GRD0WDYKlOpKx1w9zSbBHS,134,,,
,Maximus563,Decimus meridius563,17:19 ,,563,7/4/18,563,Credential,,X4RhsjlcjkQqM5GRD0WDYKlOpKx1w9zSbBHS,134,,,
,Maximus554,Decimus meridius554,17:19 ,,554,7/4/18,554,Credential,,X4RhsjlcjkQqM5GRD0WDYKlOpKx1w9zSbBHS,134,,,
,uninvited,uninvited,17:19 ,,0,7/4/18,uninvited,Credential,,X4RhsjlcjkQqM5GRD0WDYKlOpKx1w9zSbBHS,134,,,
,Maximus558,Decimus meridius558,17:20 ,,558,7/4/18,558,Credential,,X4RhsjlcjkQqM5GRD0WDYKlOpKx1w9zSbBHS,134,,,
,Maximus579,Decimus meridius579,17:20 ,,579,7/4/18,579,Credential,,X4RhsjlcjkQqM5GRD0WDYKlOpKx1w9zSbBHS,134,,,
,Maximus559,Decimus meridius559,17:20 ,,559,7/4/18,559,Credential,,X4RhsjlcjkQqM5GRD0WDYKlOpKx1w9zSbBHS,134,,,
,Maximus508,Decimus meridius508,17:20 ,,508,7/4/18,508,Credential,,X4RhsjlcjkQqM5GRD0WDYKlOpKx1w9zSbBHS,134,,,
,Maximus517,Decimus meridius517,17:20 ,,517,7/4/18,517,Credential,,X4RhsjlcjkQqM5GRD0WDYKlOpKx1w9zSbBHS,134,,,
,Maximus545,Decimus meridius545,17:20 ,,545,7/4/18,545,Credential,,X4RhsjlcjkQqM5GRD0WDYKlOpKx1w9zSbBHS,134,,,
,Maximus577,Decimus meridius577,17:20 ,,577,7/4/18,577,Credential,,X4RhsjlcjkQqM5GRD0WDYKlOpKx1w9zSbBHS,134,,,
,Maximus10,Decimus Meridius10,17:21 ,,10,7/4/18,10,Manual,,X4RhsjlcjkQqM5GRD0WDYKlOpKx1w9zSbBHS,134,,,
,uninvited,uninvited,17:23 ,,568,7/4/18,uninvited,Credential,,X4RhsjlcjkQqM5GRD0WDYKlOpKx1w9zSbBHS,134,,,
,uninvited,uninvited,17:23 ,,560,7/4/18,uninvited,Credential,,X4RhsjlcjkQqM5GRD0WDYKlOpKx1w9zSbBHS,134,,,
,uninvited,uninvited,17:23 ,,550,7/4/18,uninvited,Credential,,X4RhsjlcjkQqM5GRD0WDYKlOpKx1w9zSbBHS,134,,,
,invalid,invalid,17:23 ,,573,7/4/18,invalid,Credential,,X4RhsjlcjkQqM5GRD0WDYKlOpKx1w9zSbBHS,134,,,
,Unknown,Unknown,17:24 ,,999999999,7/4/18,550,Manual,,X4RhsjlcjkQqM5GRD0WDYKlOpKx1w9zSbBHS,134,,,
,Unknown,Unknown,17:25 ,,999999999,7/4/18,1,Manual,,X4RhsjlcjkQqM5GRD0WDYKlOpKx1w9zSbBHS,134,,,
,Maximus600,Decimus Meridius600,18:46 ,,600,7/4/18,600,Manual,,X4RhsjlcjkQqM5GRD0WDYKlOpKx1w9zSbBHS,134,,,

